trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.5, 'e': 0.9585999999999969}",25,-3,-115.00992714633519,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9579999999999969}",20,-3,-118.57181497636907,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9573999999999968}",20,-78,-688.4464445090931,"{0: 51, 1: 12, 2: 23, 3: 0, 4: 12}",0
72,False,"{'a': 0.5, 'e': 0.9567999999999968}",25,4,-82.53551602287888,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.9561999999999967}",25,-100,-504.3877447846403,"{0: 81, 1: 9, 2: 27, 3: 1, 4: 7}",0
74,False,"{'a': 0.5, 'e': 0.9555999999999967}",20,-61,-610.5034897764502,"{0: 42, 1: 7, 2: 19, 3: 4, 4: 9}",0
75,False,"{'a': 0.5, 'e': 0.9549999999999966}",20,2,-177.74591182856946,"{0: 7, 1: 2, 2: 4, 3: 3, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.9543999999999966}",25,-100,-728.5194288163459,"{0: 63, 1: 22, 2: 26, 3: 5, 4: 9}",0
77,False,"{'a': 0.5, 'e': 0.9537999999999965}",20,-100,-653.0346460187599,"{0: 62, 1: 16, 2: 29, 3: 7, 4: 6}",0
78,False,"{'a': 0.5, 'e': 0.9531999999999965}",25,-25,-200.72827775172993,"{0: 30, 1: 9, 2: 6, 3: 3, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9525999999999964}",20,4,-77.03301784662942,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.9519999999999964}",20,14,-6.251686754510601,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.9513999999999964}",20,-44,-274.97408768835754,"{0: 38, 1: 11, 2: 10, 3: 1, 4: 4}",0
82,False,"{'a': 0.5, 'e': 0.9507999999999963}",20,-29,-260.83808329212025,"{0: 29, 1: 3, 2: 12, 3: 2, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9501999999999963}",20,-55,-409.0250499637274,"{0: 45, 1: 7, 2: 16, 3: 0, 4: 7}",0
84,False,"{'a': 0.5, 'e': 0.9495999999999962}",25,-15,-204.1069869378958,"{0: 24, 1: 1, 2: 10, 3: 3, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9489999999999962}",25,-19,-144.91893083850562,"{0: 25, 1: 9, 2: 8, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9483999999999961}",25,-100,-818.9075890788952,"{0: 67, 1: 13, 2: 26, 3: 8, 4: 11}",0
87,False,"{'a': 0.5, 'e': 0.9477999999999961}",20,-100,-499.3132968671055,"{0: 80, 1: 12, 2: 17, 3: 3, 4: 8}",0
88,False,"{'a': 0.5, 'e': 0.947199999999996}",30,-100,-776.0169464326842,"{0: 78, 1: 12, 2: 22, 3: 5, 4: 13}",0
89,False,"{'a': 0.5, 'e': 0.946599999999996}",20,-42,-533.3415529702985,"{0: 30, 1: 8, 2: 12, 3: 3, 4: 9}",0
90,False,"{'a': 0.5, 'e': 0.945999999999996}",35,-38,-462.2249671993467,"{0: 40, 1: 14, 2: 9, 3: 2, 4: 8}",0
91,False,"{'a': 0.5, 'e': 0.9453999999999959}",25,-3,-80.59087579974904,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9447999999999959}",20,-27,-185.8912555592651,"{0: 26, 1: 6, 2: 11, 3: 4, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9441999999999958}",25,-57,-367.01801795049465,"{0: 49, 1: 14, 2: 11, 3: 3, 4: 5}",0
94,False,"{'a': 0.5, 'e': 0.9435999999999958}",20,-65,-295.9589220357847,"{0: 52, 1: 13, 2: 13, 3: 5, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9429999999999957}",20,-100,-521.6429316559284,"{0: 72, 1: 18, 2: 19, 3: 5, 4: 6}",0
96,False,"{'a': 0.5, 'e': 0.9423999999999957}",20,7,-5.690382123562658,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.9417999999999956}",30,-100,-439.49859567962136,"{0: 87, 1: 11, 2: 25, 3: 1, 4: 6}",0
98,False,"{'a': 0.5, 'e': 0.9411999999999956}",25,-37,-330.60419403490494,"{0: 37, 1: 7, 2: 11, 3: 2, 4: 5}",0
